Title,Rating,Link
One Crazy Summer: A Look Back at Gravity Falls (2018),4.51,https://letterboxd.com/film/one-crazy-summer-a-look-back-at-gravity-falls/
Samurai Champloo (2004),4.51,https://letterboxd.com/film/samurai-champloo/
Nirvana the Band the Show (2007),4.51,https://letterboxd.com/film/nirvana-the-band-the-show/
Ran (1985),4.51,https://letterboxd.com/film/ran/
Radiohead: In Rainbows - From the Basement (2008),4.73,https://letterboxd.com/film/radiohead-in-rainbows-from-the-basement/
Band of Brothers (2001),4.72,https://letterboxd.com/film/band-of-brothers/
Harakiri (1962),4.69,https://letterboxd.com/film/harakiri/
Stop Making Sense (1984),4.68,https://letterboxd.com/film/stop-making-sense/
No Half Measures: Creating the Final Season of Breaking Bad (2013),4.68,https://letterboxd.com/film/no-half-measures-creating-the-final-season-of-breaking-bad/
Fullmetal Alchemist: Brotherhood (2009),4.68,https://letterboxd.com/film/fullmetal-alchemist-brotherhood/
Monster (2004),4.67,https://letterboxd.com/film/monster-2004/
When Life Gives You Tangerines (2025),4.65,https://letterboxd.com/film/when-life-gives-you-tangerines-2025/
Cowboy Bebop (1998),4.65,https://letterboxd.com/film/cowboy-bebop/
Twin Peaks (1989),4.64,https://letterboxd.com/film/twin-peaks/
Planet Earth II (2016),4.64,https://letterboxd.com/film/planet-earth-ii/
Samuel (2024),4.64,https://letterboxd.com/film/samuel-2024/
12 Angry Men (1957),4.63,https://letterboxd.com/film/12-angry-men/
Lady Gaga: MAYHEM on the Beach (2025),4.63,https://letterboxd.com/film/lady-gaga-mayhem-on-the-beach/
Planet Earth (2006),4.63,https://letterboxd.com/film/planet-earth-2006/
The Human Condition III: A Soldier's Prayer (1961),4.62,https://letterboxd.com/film/the-human-condition-iii-a-soldiers-prayer/
Fishmans: Otokotachi no Wakare 98.12.28 @ Akasaka Blitz (2005),4.62,https://letterboxd.com/film/fishmans-otokotachi-no-wakare-981228-akasaka-blitz/
One Piece Fan Letter (2024),4.62,https://letterboxd.com/film/one-piece-fan-letter/
